geometry;OBJECTID;Shape;NPDID wellbore;NPDID discovery;NPDID field;NPDID drilling facility;NPDID production facility;NPDID wellbore reclassified from;NPDID production licence drilled in;Wellbore name;Well name;Discovery;Field;Drilled in production licence;Drill permit;Type;Multilateral;WDSS volume reference;Licensing activity awarded in;Drilling operator;Drilling facility;Drilling facility type;Production facility;Entered date;Entry day;Entry month;Entry year;Completed date;Completed day;Completed month;Completed year;NS degrees;NS minutes;NS seconds;EW degrees;EW minutes;EW seconds;NS decimal degrees;EW decimal degrees;Geodetic datum;NS UTM [m];EW UTM [m];UTM zone;EW code;NS code;Seismic location;Plot symbol;Status;Content;Content - planned;Purpose;Purpose - planned;Main area;Total depth (MD) [m RKB];Kelly bushing elevation [m];Water depth [m];Oldest penetrated age;Drilling days;Reclassified from/to wellbore;Reentry activity;Oldest penetrated formation;Bottom hole temperature [°C];Maximum inclination [°];Final vertical depth (TVD) [m RKB];1st level with HC, formation;1st level with HC, age;2nd level with HC, formation;2nd level with HC, age;3rd level with HC, formation;3rd level with HC, age;Publication date;Discovery wellbore;Wellbore name, part 1;Wellbore name, part 2;Wellbore name, part 3;Wellbore name, part 4;Wellbore name, part 5;Wellbore name, part 6;FactPage url;Factmaps;Pressrelease url;DISKOS Well Type;DISKOS Wellbore Parent;Predrilled entry date;Predrilled completion date;Release date;Reentry;With wellbore history;With cuttings;With cores;With core photo;With paly slides;With oil samples;With casing and lot;With mud;With dst;With log;With lithostratigraphy;With composite log;With geochem info;With doc reported by licensee;With old WDSS;With NPD papers;Cores available for sampling?;Cutting samples available?;Date main level updated;Date all updated;NPDID drilling operator;Drilling operator, url;fixed_or_moveable;Subsea;Kick off  point [m RKB];Prod. licence for drilling target;Plugged date;Plugged and abondon date;NPDID production licence target;NPDID site survey;Sitesurvey;Reclassified date;Date drillpermit approved;N/A drillper_nb_comment_EN;Planned position - NS;Planned position - EW;N/A - drillper_legal_ref_nb_note;Legal reference;Planned entry date;Wellbore alias name
X: 221576.5203, Y: 6727253.9105, Z: NaN;33;;34;44552;46437;287983;;0;21476;31/6-2;31/6-2;31/6-1 (Troll Øst);TROLL;085 ;393-L;EXPLORATION;NO;15;Awarded additionally to round 7;Den norske stats oljeselskap a.s;DEEPSEA BERGEN;SEMISUB STEEL;;1983-10-18T00:00:00.0000000;18;10;1983;1983-12-11T00:00:00.0000000;11;12;1983;60;34;5824;3;54;5576;605828;39155;ED50  ;671683154;5501644;31;E;N;ST 8007 - 351  SP 1647;9;SUSPENDED;GAS;NOT APPLICABLE;APPRAISAL;APPRAISAL;NORTH SEA;2020;23;303;EARLY JURASSIC      ;55;;;DRAKE FM            ;65;1;2020;SOGNEFJORD FM;LATE JURASSIC;;;                    ;                    ;2006-06-06T00:00:00.0000000;NO;31;6; ;2;;;https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=34;https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=34; ;initial             ;                                        ;;;1985-12-11T00:00:00.0000000;NO;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;YES;YES;2021-02-23T00:00:00.0000000;2021-08-22T00:00:00.0000000;749;https://factpages.npd.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=749;MOVEABLE; NO;0;;;;;;;;;;;;;;;
X: 225409.8845, Y: 6717844.336, Z: NaN;34;;35;;;288010;;0;21476;31/6-3;31/6-3;;;085 ;394-L;EXPLORATION;NO;14;Awarded additionally to round 7;Norsk Hydro Produksjon AS;NORTRYM;SEMISUB STEEL;;1983-11-01T00:00:00.0000000;1;11;1983;1983-12-26T00:00:00.0000000;26;12;1983;60;30;477;3;59;5357;605013;39982;ED50  ;670781842;55483484;31;E;N;ST 8007 - 107  SP 1025;1;P&A;DRY;NOT APPLICABLE;WILDCAT;WILDCAT;NORTH SEA;2250;25;301;TRIASSIC            ;56;;;HEGRE GP            ;76;8;2250;;;;;                    ;                    ;2004-06-29T00:00:00.0000000;NO;31;6; ;3;;;https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=35;https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=35; ;initial             ;                                        ;;;1985-12-26T00:00:00.0000000;NO;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;YES;YES;2021-02-23T00:00:00.0000000;2021-08-22T00:00:00.0000000;430;https://factpages.npd.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=430;MOVEABLE; NO;0;;;;;;;;;;;;;;;
X: 215894.3864, Y: 6731692.9081, Z: NaN;104;;105;44552;46437;287983;;0;21476;31/6-5;31/6-5;31/6-1 (Troll Øst);TROLL;085 ;409-L;EXPLORATION;NO;15;Awarded additionally to round 7;Den norske stats oljeselskap a.s;DEEPSEA BERGEN;SEMISUB STEEL;;1984-03-16T00:00:00.0000000;16;3;1984;1984-05-21T00:00:00.0000000;21;5;1984;60;37;68;3;48;2098;606186;38058;ED50  ;672073031;54410697;31;E;N;NH 8202 - 120  SP. 246;13;P&A;OIL/GAS;NOT APPLICABLE;APPRAISAL;APPRAISAL;NORTH SEA;2082;23;304;EARLY JURASSIC      ;67;;;DRAKE FM            ;61;15;2028;SOGNEFJORD FM;LATE JURASSIC;;;                    ;                    ;2006-06-06T00:00:00.0000000;NO;31;6; ;5;;;https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=105;https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=105; ;initial             ;                                        ;;;1986-05-21T00:00:00.0000000;NO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;YES;YES;2021-02-23T00:00:00.0000000;2021-08-22T00:00:00.0000000;749;https://factpages.npd.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=749;MOVEABLE; NO;0;;;;;;;;;;;;;;;
X: 223621.4678, Y: 6740105.5471, Z: NaN;126;;127;44552;46437;287983;;0;21476;31/6-6;31/6-6;31/6-1 (Troll Øst);TROLL;085 ;416-L;EXPLORATION;NO;15;Awarded additionally to round 7;Den norske stats oljeselskap a.s;DEEPSEA BERGEN;SEMISUB STEEL;;1984-05-22T00:00:00.0000000;22;5;1984;1984-07-29T00:00:00.0000000;29;7;1984;60;41;5708;3;56;461;606992;39346;ED50  ;672980422;55102807;31;E;N;NH 8007-129  SP. 156;9;P&A;GAS;NOT APPLICABLE;APPRAISAL;APPRAISAL;NORTH SEA;2293;23;313;LATE TRIASSIC       ;69;;;HEGRE GP            ;67;0;2291;INTRA HEATHER FM SS;LATE JURASSIC;SOGNEFJORD FM;LATE JURASSIC;                    ;                    ;2006-05-23T00:00:00.0000000;NO;31;6; ;6;;;https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=127;https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=127; ;initial             ;                                        ;;;1986-07-29T00:00:00.0000000;NO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;YES;YES;2021-02-23T00:00:00.0000000;2021-08-22T00:00:00.0000000;749;https://factpages.npd.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=749;MOVEABLE; NO;0;;;;;;;;;;;;;;;
X: 215883.1518, Y: 6731670.423, Z: NaN;403;;404;44552;46437;287983;;0;21476;31/6-4;31/6-4;31/6-1 (Troll Øst);TROLL;085 ;407-L;EXPLORATION;NO;15;Awarded additionally to round 7;Den norske stats oljeselskap a.s;DEEPSEA BERGEN;SEMISUB STEEL;;1984-03-05T00:00:00.0000000;5;3;1984;1984-03-16T00:00:00.0000000;16;3;1984;60;37;605;3;48;2036;606183;38057;ED50  ;672070699;54409783;31;E;N;NH 8202 - 120  SP. 246;80;JUNKED;NOT APPLICABLE;NOT APPLICABLE;APPRAISAL;APPRAISAL;NORTH SEA;820;23;305;EOCENE              ;12;;;BALDER FM           ;37;1275;817;;;;;                    ;                    ;2006-06-06T00:00:00.0000000;NO;31;6; ;4;;;https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=404;https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=404; ;initial             ;                                        ;;;1986-03-16T00:00:00.0000000;NO;1;1;0;0;0;0;1;1;0;1;1;1;0;1;1;0;YES;YES;2021-02-23T00:00:00.0000000;2021-08-22T00:00:00.0000000;749;https://factpages.npd.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=749;MOVEABLE; NO;0;;;;;;;;;;;;;;;
X: 221576.5203, Y: 6727253.9105, Z: NaN;497;;498;44552;46437;287983;;0;21476;31/6-2 R;31/6-2;31/6-1 (Troll Øst);TROLL;085 ;393-L2;EXPLORATION;NO;15;Awarded additionally to round 7;Den norske stats oljeselskap a.s;DEEPSEA BERGEN;SEMISUB STEEL;;1984-07-31T00:00:00.0000000;31;7;1984;1984-09-08T00:00:00.0000000;8;9;1984;60;34;5824;3;54;5576;605828;39155;ED50  ;671683154;5501644;31;E;N;ST 8007 - 351 SP 1647;9;P&A;GAS;NOT APPLICABLE;APPRAISAL;APPRAISAL;NORTH SEA;2235;23;303;LATE TRIASSIC       ;40;;DRILLING/PLUGGING;HEGRE GP            ;72;1;2235;SOGNEFJORD FM;LATE JURASSIC;;;                    ;                    ;2006-06-06T00:00:00.0000000;NO;31;6; ;2;R;;https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=498;https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=498; ;re-entry            ;31/6-2                                  ;;;1986-09-08T00:00:00.0000000;YES;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;NO;NO;2021-02-23T00:00:00.0000000;2021-08-22T00:00:00.0000000;749;https://factpages.npd.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=749;MOVEABLE; NO;0;;;1984-09-08T00:00:00.0000000;;;;;;;;;;;;
X: 231564.7755, Y: 6742072.3062, Z: NaN;2627;;2918;;;296677;;0;22452;32/4-1;32/4-1;;;205 ;863-L;EXPLORATION;NO;25;15;Phillips Petroleum Company Norway;TRANSOCEAN 8;SEMISUB STEEL;;1996-10-21T00:00:00.0000000;21;10;1996;1996-12-04T00:00:00.0000000;4;12;1996;60;43;199;4;4;367;607222;40769;ED50  ;673248534;55875203;31;E;N;TE 90 -112 * TE 90 - 207;1;P&A;DRY;NOT APPLICABLE;WILDCAT;WILDCAT;NORTH SEA;3186;24;312;PRE-DEVONIAN        ;45;;;BASEMENT            ;110;3;3185;;;;;                    ;                    ;2002-05-29T00:00:00.0000000;NO;32;4; ;1;;;https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2918;https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=2918; ;initial             ;                                        ;;;1998-12-04T00:00:00.0000000;NO;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;YES;YES;2021-02-23T00:00:00.0000000;2021-08-22T00:00:00.0000000;694;https://factpages.npd.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=694;MOVEABLE; NO;0;;;;;;;;;;;;;;;
X: 245954.521, Y: 6746901.4119, Z: NaN;5036;;5839;;;296326;;0;3810875;32/2-1;32/2-1;;;369 ;1186-L;EXPLORATION;NO;25;TFO2005;Talisman Energy Norge AS;TRANSOCEAN WINNER;SEMISUB STEEL;;2008-06-18T00:00:00.0000000;18;6;2008;2008-07-01T00:00:00.0000000;1;7;2008;60;46;2935;4;20;36;607748;43334;ED50  ;673860299;57263004;31;E;N;line 11184. CDP no:39275;1;P&A;DRY;;WILDCAT;WILDCAT;NORTH SEA;1300;26;351;TRIASSIC            ;14;;;LUNDE FM            ;33;1;1300;;;;;                    ;                    ;2010-08-01T00:00:00.0000000;NO;32;2; ;1;;;https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5839;https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5839;https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2008/Torr-bronn-ost-for-Trollfeltet-i-Nordsjoen/;initial             ;                                        ;;;2010-07-01T00:00:00.0000000;NO;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;YES;YES;2021-02-23T00:00:00.0000000;2019-10-03T00:00:00.0000000;2425093;https://factpages.npd.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=2425093;MOVEABLE; NO;0;;;;;;;;;;;;;;;
X: 234081.1071, Y: 6718206.2506, Z: NaN;8064;;8874;;;415836;;0;30674782;32/4-2;32/4-2;;;921 ;1784-L;EXPLORATION;NO;25;TFO2017;Equinor Energy AS;WEST HERCULES;SEMISUB STEEL;;2019-09-09T00:00:00.0000000;9;9;2019;2019-09-21T00:00:00.0000000;21;9;2019;60;30;3736;4;9;1803;605104;4155;ED50  ;67089675;56342977;31;E;N;CGG17M01. Inline 9685. Xline 22271;80;JUNKED;NOT APPLICABLE;;WILDCAT;WILDCAT;NORTH SEA;1184;31;292;                    ;13;;;                    ;0;0;1184;;;;;                    ;                    ;2021-11-10T00:00:00.0000000;NO;32;4; ;2;;;https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8874;https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8874;;initial             ;                                        ;;;2020-04-01T00:00:00.0000000;NO;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;YES;YES;2022-03-11T00:00:00.0000000;2021-12-22T00:00:00.0000000;32011216;https://factpages.npd.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=32011216;MOVEABLE; NO;0;;2019-09-21T00:00:00.0000000;;;8640;ST18330;;;;;;;;;
X: 233930.6099, Y: 6718224.5118, Z: NaN;8090;;8900;;;415836;;0;30674782;32/4-3 S;32/4-3;;;921 ;1791-L;EXPLORATION;NO;25;TFO2017;Equinor Energy AS;WEST HERCULES;SEMISUB STEEL;;2019-09-23T00:00:00.0000000;23;9;2019;2019-10-26T00:00:00.0000000;26;10;2019;60;30;3759;4;9;811;605104;41523;ED50  ;670897196;56327833;31;E;N;Seismic 3D survey CGG17M01 Inline 9677. Xline 22271;1;P&A;DRY;;WILDCAT;WILDCAT;NORTH SEA;2017;31;292;LATE TRIASSIC       ;34;;;LUNDE FM            ;0;0;2000;;;;;                    ;                    ;2021-11-10T00:00:00.0000000;NO;32;4; ;3;S;;https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8900;https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8900;https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2019/torr-bronn-nar-troll-feltet-i-nordsjoen--bronn-324-3-s/;initial             ;                                        ;;;2020-04-01T00:00:00.0000000;NO;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;YES;YES;2022-03-11T00:00:00.0000000;2021-12-22T00:00:00.0000000;32011216;https://factpages.npd.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=32011216;MOVEABLE; NO;0;;;2019-10-26T00:00:00.0000000;;;;;;;;;;;;
